dataset,video_num,question_w_q_morph,question,gloss,spoken
NIA-2020,1479.0,,False,지하철 곳 다음 도착 차내리다,지하철역 지나서 내려주세요.
NIA-2020,240.0,,True,강남 가다 목적 지하철 갈아타다 몇호,강남역으로 가려면 몇호선으로 갈아타야 하나요?
KETI-Daily,,,False,슬프다,슬프다
KETI-Daily,,,False,웃다 모습 귀엽다,샐쭉 웃는 모습이 귀엽다
KETI-Daily,,,False,교통 법 지키다,교통법규를 지키다
NIA-2020,688.0,,False,샛길 가다,골목으로 들어가주세요.
NIA-2020,1797.0,,True,열쇠 찾다 실종,열쇠를 잃어버리셨나요?
NIA-2020,1328.0,,True,3 가다 원하다 무엇 방법,3번 출구로 나가려면 어떻게 가나요?
NIA-2020,1657.0,,True,병원 저기 다음 도착 내리다,병원 지나서 내려드릴까요?
NIA-2020,385.0,,True,지하철 곳 안내하다,지하철 갈아타는 곳으로 안내해드릴까요?
NIA-2020,1117.0,,True,물품보관 불량,물품보관함이 안되나요?
NIA-2020,119.0,,False,내리다,내리세요.
NIA-2020,1658.0,,True,병원 저기 다음 도착 내리다,병원 지나서 내려드릴까요?
NIA-2020,1600.0,,False,경찰 저기 곳 다음 도착 차내리다,경찰서 지나서 내려주세요.
NIA-2020,347.0,,False,불편하다 있다 신고,불편한 점이 있으시면 민원을 넣으세요.
KETI-Emergency,,,False,산 동물 만나다 공격,산에서 야생동물을 만났어요. 저를 공격할 것 같아요.
NIA-2020,1176.0,,False,공항 버스 전 곳 보다 저기,공항버스정류장 못가서 내려주세요.
KETI-Daily,,,False,덥다,덥다
NIA-2020,201.0,,False,역무원 부르다,제가 역무원을 불렀습니다.
NIA-2020,1495.0,,False,병원 다음 차내리다,병원 지나서 내려주세요.
KETI-Daily,,,False,문 열다 동시에 문자,문을 여는 동시에 문자가 왔다
NIA-2020,1152.0,,True,카드 불량 잘 안되다,카드 인식이 안되나요?
NIA-2020,214.0,,True,어린이집 보다 차내리다,어린이집이 보이면 내려드릴까요?
NIA-2020,121.0,,False,1호 갈아타다 목적,1호선으로 환승하려고 합니다.
KETI-Daily,,,False,저기 나 가지다 괜찮다,이거 내가 가져도 될까
NIA-2020,1880.0,,False,아이 없다 실종,아이를 잃어버렸습니다.
NIA-2020,402.0,,True,내리다 시간 알려주다,내릴 때 알려드릴까요?
NIA-2020,1831.0,,True,우회전 확인 맞다,우회전 맞으시죠?
NIA-2020,941.0,,False,서울농아인협회 곳,서울농아인협회로 가주세요.
NIA-2020,928.0,,False,한국농아인협회 차내리다,한국농아인협회로 가주세요.
KETI-Daily,,,False,놀다 물건 가지다 놀다,장난감을 가지고 놀다
NIA-2020,212.0,,True,차내리다 곳곳,어디에서 내려드릴까요?
KETI-Daily,,,False,언니 생일 잊다,언니의 생일을 잊었다
NIA-2020,762.0,,False,건너다 차내리다,건너편에서 내려주세요.
NIA-2020,904.0,,True,에어컨 켜다,에어컨 좀 켜드릴까요?
NIA-2020,1571.0,,False,언덕 다음 여기,언덕 지나서 내려주세요.
KETI-Daily,,,False,사람 모두 놀라다 동시에 보다,그들은 깜짝 놀라 동시에 뒤돌아봤다
KETI-Emergency,,,False,할머니 갑자기 쓰러지다,할머니가 갑자기 쓰러지셨어요
NIA-2020,1607.0,,False,편지 저기 곳 다음 도착 내리다,우체국 지나서 내려주세요.
NIA-2020,547.0,,True,좌회전 확인 맞다,좌회전 해드릴까요?
NIA-2020,1934.0,,False,돈,현금입니다.
NIA-2020,517.0,,False,학교 저기,학교로 들어가주세요.
NIA-2020,749.0,,False,버스 곳 맞다,버스정류장에서 내려주세요.
NIA-2020,712.0,,True,샛길 여기 가다,골목으로 들어갈까요?
KETI-Daily,,,False,중요 잊다 하지마,중요하니깐 잊지마
