GKSL,WKL,GKSL_encoded,WKL_encoded
집 불,댁에 불이 났어요.,"[2, 4384, 2485, 3]","[2, 517, 5830, 6896, 2485, 7096, 517, 5671, 6857, 54, 3]"
집 불,주택에 불이 났어요.,"[2, 4384, 2485, 3]","[2, 4243, 6896, 2485, 7096, 517, 5671, 6857, 54, 3]"
집 불,가옥에 불이 났어요.,"[2, 4384, 2485, 3]","[2, 517, 5330, 6970, 6896, 2485, 7096, 517, 5671, 6857, 54, 3]"
집 불,세대에 불이 났어요.,"[2, 4384, 2485, 3]","[2, 2805, 6896, 2485, 7096, 517, 5671, 6857, 54, 3]"
도착 10분 전,10분 내로 당도합니다.,"[2, 1723, 533, 6416, 4012, 3]","[2, 533, 6416, 1434, 6079, 1618, 5859, 7843, 54, 3]"
도착 10분,10분 뒤에 당도합니다.,"[2, 1723, 533, 6416, 3]","[2, 533, 6416, 1783, 6896, 1618, 5859, 7843, 54, 3]"
도착 1시간 전,1시간 내로 당도합니다.,"[2, 1723, 529, 6706, 4012, 3]","[2, 529, 6706, 1434, 6079, 1618, 5859, 7843, 54, 3]"
도착 1시,1시에 당도합니다.,"[2, 1723, 529, 6705, 3]","[2, 529, 6705, 6896, 1618, 5859, 7843, 54, 3]"
1호 갈아타다 목적 곳곳 ?,1호선 환승하는 위치는 어디인가요?,"[2, 529, 7925, 781, 6797, 7581, 5782, 2076, 1021, 5451, 633, 3]","[2, 529, 7927, 5136, 6703, 7794, 3563, 5760, 3223, 7119, 5330, 6999, 258, 3]"
1호 갈아타다 목적 곳곳 ?,1호선 환승하는 장소는 어디인가요?,"[2, 529, 7925, 781, 6797, 7581, 5782, 2076, 1021, 5451, 633, 3]","[2, 529, 7927, 5136, 6703, 7794, 3962, 5760, 3223, 7119, 5330, 6999, 258, 3]"
1호 곳 무엇 ?,1호선을 타는 위치는 어디인가요?,"[2, 529, 7925, 1021, 2095, 6884, 633, 3]","[2, 529, 7927, 7088, 4698, 5760, 3563, 5760, 3223, 7119, 5330, 6999, 258, 3]"
1호 곳 무엇 ?,1호선을 타는 장소은 어디인가요?,"[2, 529, 7925, 1021, 2095, 6884, 633, 3]","[2, 529, 7927, 7088, 4698, 5760, 3962, 7086, 3223, 7119, 5330, 6999, 258, 3]"
2016 새롭다 날 시작,"2016년, 새해가 출발한다","[2, 577, 2695, 6087, 5782, 1407, 2986, 3]","[2, 577, 5712, 46, 2702, 5330, 4573, 7831, 3]"
도착 3시,3시에 당도합니다.,"[2, 1723, 589, 6705, 3]","[2, 589, 6705, 6896, 1618, 5859, 7843, 54, 3]"
8호 곳곳 ?,8호선 타는 위치는 어디에 있나요?,"[2, 624, 7925, 1021, 5451, 633, 3]","[2, 624, 7927, 4698, 5760, 3563, 5760, 3223, 6896, 3854, 5655, 6999, 258, 3]"
8호 곳곳 ?,8호선 타는 장소는 어디에 있나요?,"[2, 624, 7925, 1021, 5451, 633, 3]","[2, 624, 7927, 4698, 5760, 3962, 5760, 3223, 6896, 3854, 5655, 6999, 258, 3]"
9호 곳곳 ?,9호선 타는 위치는 어디에 있나요?,"[2, 627, 7925, 1021, 5451, 633, 3]","[2, 627, 7927, 4698, 5760, 3563, 5760, 3223, 6896, 3854, 5655, 6999, 258, 3]"
9호 곳곳 ?,9호선 타는 장소는 어디에 있나요?,"[2, 627, 7925, 1021, 5451, 633, 3]","[2, 627, 7927, 4698, 5760, 3962, 5760, 3223, 6896, 3854, 5655, 6999, 258, 3]"
9호 갈아타다 목적 곳곳 ?,9호선 환승하는 위치는 어디인가요?,"[2, 627, 7925, 781, 6797, 7581, 5782, 2076, 1021, 5451, 633, 3]","[2, 627, 7927, 5136, 6703, 7794, 3563, 5760, 3223, 7119, 5330, 6999, 258, 3]"
9호 갈아타다 목적 곳곳 ?,9호선 환승하는 장소는 어디인가요?,"[2, 627, 7925, 781, 6797, 7581, 5782, 2076, 1021, 5451, 633, 3]","[2, 627, 7927, 5136, 6703, 7794, 3962, 5760, 3223, 7119, 5330, 6999, 258, 3]"
정보 묻다 곳 가다 부탁,가까운 인솔 데스크를 이용해 주시기 바랍니다.,"[2, 4103, 2134, 5782, 1021, 517, 5330, 5782, 2458, 3]","[2, 734, 3758, 6618, 1706, 6682, 6116, 3730, 4213, 6705, 5561, 2186, 6019, 5772, 54, 3]"
제일 가깝다 곳 찾다 드리다,가장 가까운 위치로 검색해드리겠습니다.,"[2, 4128, 7126, 517, 5330, 5599, 5782, 1021, 517, 7404, 5782, 517, 5924, 5782, 3]","[2, 760, 734, 3563, 6079, 898, 7848, 5924, 5409, 54, 3]"
제일 가깝다 곳 찾다 드리다,가장 가까운 장소로 검색해드리겠습니다.,"[2, 4128, 7126, 517, 5330, 5599, 5782, 1021, 517, 7404, 5782, 517, 5924, 5782, 3]","[2, 760, 734, 3962, 6079, 898, 7848, 5924, 5409, 54, 3]"
제일 가깝다 곳 찾다 드리다,가장 가까운 처소로 검색해드리겠습니다.,"[2, 4128, 7126, 517, 5330, 5599, 5782, 1021, 517, 7404, 5782, 517, 5924, 5782, 3]","[2, 760, 734, 4464, 6607, 6079, 898, 7848, 5924, 5409, 54, 3]"
가다 빨리 방법 ?,가장 빠른 길은 어디일까요?,"[2, 517, 5330, 5782, 2563, 2270, 633, 3]","[2, 760, 2557, 1315, 7086, 3223, 7126, 5591, 6999, 258, 3]"
갈아타다 곳 맞다,갈아타는 위치가 맞습니다.,"[2, 781, 6797, 7581, 5782, 1021, 1970, 5782, 3]","[2, 781, 6797, 7581, 5760, 3563, 5330, 1970, 6701, 54, 3]"
갈아타다 곳 맞다,갈아타는 장소가 맞습니다.,"[2, 781, 6797, 7581, 5782, 1021, 1970, 5782, 3]","[2, 781, 6797, 7581, 5760, 3962, 5330, 1970, 6701, 54, 3]"
개 집 지키다 유명하다,개는 주택을 잘 지키는 동물로 알려져 있다,"[2, 835, 4384, 4344, 5782, 3585, 7798, 3]","[2, 835, 5760, 4243, 7088, 3942, 4344, 5760, 1746, 6079, 3170, 3862, 3]"
개 집 지키다 유명하다,개는 가옥을 잘 지키는 동물로 알려져 있다,"[2, 835, 4384, 4344, 5782, 3585, 7798, 3]","[2, 835, 5760, 517, 5330, 6970, 7088, 3942, 4344, 5760, 1746, 6079, 3170, 3862, 3]"
건강 돌보다,기력을 돌보다,"[2, 882, 1732, 6371, 3]","[2, 1258, 6065, 1732, 6371, 3]"
건강 위하다 운동 필요,기력을 위해 운동해야 한다,"[2, 882, 3552, 7798, 3514, 4919, 3]","[2, 1258, 6065, 3567, 3514, 7852, 4965, 3]"
건강 위하다 운동 필요,건강을 위해 스포츠해야 한다,"[2, 882, 3552, 7798, 3514, 4919, 3]","[2, 882, 7088, 3567, 2945, 7852, 4965, 3]"
건강 위하다 운동 필요,건강을 위해 체육해야 한다,"[2, 882, 3552, 7798, 3514, 4919, 3]","[2, 882, 7088, 3567, 517, 7438, 7852, 4965, 3]"
걷다 빠르다,보행이 빠르다,"[2, 888, 5782, 2554, 6113, 5782, 3]","[2, 2355, 7881, 7096, 2554, 6113, 5782, 3]"
결과 무엇 너무 궁금하다,끝끝내 어떻게 되었는지 정말 궁금하다,"[2, 938, 2095, 6884, 1458, 1169, 7798, 3]","[2, 1363, 5648, 5678, 3225, 517, 5895, 5760, 7318, 4102, 1169, 7798, 3]"
결과 무엇 너무 궁금하다,최후가 어떻게 되었는지 정말 궁금하다,"[2, 938, 2095, 6884, 1458, 1169, 7798, 3]","[2, 4519, 7968, 5330, 3225, 517, 5895, 5760, 7318, 4102, 1169, 7798, 3]"
결과 무엇 너무 궁금하다,막바지가 어떻게 되었는지 정말 궁금하다,"[2, 938, 2095, 6884, 1458, 1169, 7798, 3]","[2, 1927, 6273, 7319, 3225, 517, 5895, 5760, 7318, 4102, 1169, 7798, 3]"
결과 무엇 너무 궁금하다,결국에 어떻게 되었는지 정말 궁금하다,"[2, 938, 2095, 6884, 1458, 1169, 7798, 3]","[2, 940, 6896, 3225, 517, 5895, 5760, 7318, 4102, 1169, 7798, 3]"
결과 무엇 너무 궁금하다,마지막에 어떻게 되었는지 정말 궁금하다,"[2, 938, 2095, 6884, 1458, 1169, 7798, 3]","[2, 1919, 6896, 3225, 517, 5895, 5760, 7318, 4102, 1169, 7798, 3]"
결과 무엇 너무 궁금하다,결말이 어떻게 되었는지 정말 궁금하다,"[2, 938, 2095, 6884, 1458, 1169, 7798, 3]","[2, 937, 6160, 7096, 3225, 517, 5895, 5760, 7318, 4102, 1169, 7798, 3]"
돈 계산 잘못하다,셈을 잘못하였습니다.,"[2, 1730, 983, 3943, 7798, 3]","[2, 517, 6597, 7088, 3943, 7782, 6948, 54, 3]"
계획 끝 일 오늘 시작,계획했던 작업을 실천했다,"[2, 990, 1363, 3803, 3419, 2986, 3]","[2, 990, 7872, 3937, 3053, 7869, 3]"
감사 마음 전하다 위하다 편지 쓰다,고마운 심정을 담아 편지를 준비했다,"[2, 793, 1917, 4012, 7798, 3552, 7798, 4832, 7318, 3084, 5782, 3]","[2, 993, 6141, 7010, 3060, 7227, 7088, 1613, 4832, 7329, 4249, 7869, 3]"
감사 마음 전하다 위하다 편지 쓰다,고마운 마음을 담아 편지를 장만했다,"[2, 793, 1917, 4012, 7798, 3552, 7798, 4832, 7318, 3084, 5782, 3]","[2, 993, 6141, 7010, 1918, 1613, 4832, 7329, 3954, 6150, 7869, 3]"
감사 마음 전하다 위하다 편지 쓰다,고마운 마음을 담아 편지를 마련했다,"[2, 793, 1917, 4012, 7798, 3552, 7798, 4832, 7318, 3084, 5782, 3]","[2, 993, 6141, 7010, 1918, 1613, 4832, 7329, 1912, 3]"
