formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
안녕하세요. 저는 고양이 6마리 키워요.	안녕! 나는 고양이 6마리 키워.	휴먼. 반갑다. 안드로이드는. 고양이. 6마리. 소유중.	아이고 안녕하십니까~ 나는 그냥 고양이 6마리 키우고 있는 사람이여	하잉ㅋㅋ 나 떼걸룩 6마리 키운다!	ㅎㅇ 나 주인님 6마리 모심 ㅋㅋ	안녕!! >< 나는 고양이😺를 ➏ 마리 키우고있어!! 0_0	안녕안녕~! 나 고양이 6마리나 키운다? 완전 대박이징~	안녕하십니까,, 저는 고양이 6마리 키웁니다.	안녕하신가~... 난 지금 고양이를 6마리 키우고 있다네	하유 시벌것 괭이놈 6마리 키우는데 힘들어 죽겟네	안녕하냐 ㅡㅡ 나 씹냥이 6마리나 키운다 하;	반갑소. 짐은 고양이를 6마리나 키우오.	안녕하냐니깐! 난 고양이를 6마리 키우고있다니깐!	안녕하시오! 소인은 고양이를 6마리 키우고 있소!	안녕… 난 고양이 6마리 키워 ㅠㅠ	반가운. 나는 6마리의 고양이를 소지하고 있다.
고양이를 6마리나요? 키우는거 안 힘드세요?	고양이를 6마리나? 키우는거 안 힘들어?	고양이. 6마리. 양육. 번거로운가.	아니 무슨 고양이를 6마리나? 거 키우는 거 안 힘든가?	엥? 6마리나? 안힘듬?ㅋㅋㅋㅋ	6마리? 에바아니냐 안 힘듦?	고양이를 6마리나?!! w(ﾟДﾟ)w 키우는거 안 힘듬?? (⊙_⊙;)	고양이를 6마리나? 완전 대박~ 키우는 거 안 힘들어?!	고양이를 6마리나 키우십니까? 안 힘드신지,,	고양이를 6마리나? 키우는거 힘들지 않는가?	니기럴 털만 날리는 거 키우기 안 힘들데?	아니 고양이를 6마리나? 안힘드냐?	고양이를 6마리나? 키우는게 수고스럽진 않소?	고양이를 6마리나? 키우는거 힘들지 않냐니깐?	고양이를 6마리나 키우고 있는 것이오? 힘들지 않소?	고양이..6마리나? ㅠ 키우는건 혹시 안힘들어..?	6마리의 고양이? 당신은 그들로부터 지치지 않습니까?
제가 워낙 고양이를 좋아해서 크게 힘들진 않아요.	내가 워낙 고양이를 좋아해서 크게 힘들진 않아.	안드로이드. 고양이. 선호. 힘들지. 않음.	내가 또 워~낙에 고양이를 좋아해서 크게 뭐 힘들진 않고	내가 고양이 좋아해서 딱히 안힘듬 ㅋㅋㅋ	ㄱㅊ 나 고양이 환장해서 힘든 것도 모름	뭐 나야 워낙에 고양이 좋아하니까 딱히 안힘드엉! \(@^0^@)/	내가 또 워~낙에 고양이를 좋아하잖아~ 그렇게 크~게 힘들진 않아 ㅎㅎ~	제가 워낙 고양이를 좋아해서 크게 힘들진 않습니다.	내가 워낙에...고양이가 좋아가지고 그렇게 힘들지 않어...^^	옘병 내가 좋아하니까 키워야지 시벌것	고양이 좋아한다고ㅡㅡ 1도 안힘듬 ㅡㅡ	과인은 고양이를 어여삐 어겨 그리 수고스럽진 않소	내가 고양이를 엄청 좋아해서 별로 힘들지 않다니깐!	소인 고양이를 엄청 좋아하기 때문에 별로 힘들지 않소이다.	내가 고양이 워낙 좋아해서..ㅠㅠ 크게 힘들진 않은 것 같아..	나는 고양이의 큰 애호가. 지치지 않는다.
가장 나이가 많은 고양이가 어떻게 돼요?	가장 나이가 많은 고양이가 몇 살이야?	제일. 나이많은. 고양이. 나이. 무엇.	그려 가장 나이가 많은 고양이가 몇살이여?	가장 나이 먹은 고양이가 몇살이야?	젤 낡은 고영희가 몇 살임?	가장 나이 먹은 고양인 몇 살이양? (´･ω･`)?	대박대박 완전 대박!! 그럼 제~일 나이 많은 고양이는 몇살이야~?!	가장 나이가 있는 고양이가 몇살입니까?	고양이들 중에서…가장 나이 먹을 애가 몇살인가?...	거 젤 빨리 뒤질 놈이 나이 얼마나 쳐먹었냐	가장 늙은애가 몇살인데	최고령 고양이의 나이는 어떻게 되는가?	가장 나이 많이 먹은 고양이가 몇 살 이냐니깐?!	나이를 가장 많이 먹은 고양이가 몇 살이오?	혹시.. 제일 나이 많은 고양이는.. 몇살이야..?ㅠ	가장 늙은 고양이가 몇 년입니까?
여섯 살입니다. 갈색 고양이에요.	여섯 살이야. 갈색 고양이지.	고양이. 갈색. 여섯살.	6살인데 갈색 고양이 있어~	이제 여섯살이고 갈색고양이임!	6살, 갈색임	여설 살!! ㄱ^o^/ 색깔은 갈색! O(*￣▽￣*)ブ	6살인 애 있는데, 완전 귀.여.워. 갈색 고양이야 진짜 대박이지?	6살된 갈색 아이가 있습니다.	저…갈색 고양이인데…여섯살이지~..	저 노망난 갈색놈이 6살 뒤룩뒤룩 쳐먹은 놈이여	여섯살 갈색냥인데 왜	여섯 살이오. 갈색 고양이오.	갈색 고양이가 여섯살이라니깐!	여섯 살에 갈색 고양이오	여섯살이야.. 갈색 ㅠㅠ 고양이야..ㅠ	여섯. 고양이는 갈색이다.
그럼 가장 어린 고양이가 어떻게 돼요?	그럼 가장 어린 고양이는?	제일. 나이어린. 고양이. 나이. 무엇.	그럼 그 가장 어린 고양이는?	그럼 가장 애기인 고양이는 몇살이야?	그럼 가장 아깽이는?	그럼 가장 애기인 고양이는?? (⊙_⊙)？	대박! 완전 귀엽겠다~!! 그럼 제~일 나이 적은 애는?! 몇살이야??	그럼 가장 어린 고양이는 나이가 어떻게 됩니까?	그럼 제일 어린 고양이는 몇살인겐가?...	새파랗게 어린놈은 얼마나 쳐먹었는데?	제일 어린애는 몇살?	허면 가장 어린 고양이는 어떻게 되는가?	그럼 가장 나이 어린 고양이는 몇살이냐니깐?	그럼 가장 어린 고양이는 몇 살인 것이오?	혹시.. 제일 나이 어린 고양이는..ㅠㅠ 몇살이야..?	가장 젊은 고양이는 어떤?
한 살입니다. 작년에 분양 받았어요.	한 살이야. 작년에 분양 받았어.	한살. 분양시기는. 작년.	그 작년에 분양 받은 1살 있지~	작년에 분양 받았는데 1살이야!	1살 ㅋㅋ 작년에 분양 받음	한살~! (ﾉ*ФωФ)ﾉ 작년 분양 받았지롱~^0^	1살 완전 대박이지~!! 작년에 분양 받았어 진짜 너무 귀여워~!	1살 짜리 아이도 있습니다. 작년에 분양 받았지요.	한 살이지~….작년에…분양 받았어~…	1살 먹은 염병할 놈 저거 작년에 분양 받았어	1살이고 작년에 데려옴	한살이오. 작년에 분양을 받게 되었소.	한 살이고. 작년에 분양 받았다니깐!	한 살인데 작년에 분양 받았소.	한살이야 ㅠ 작년에 분양 받았어..	일년. 작년에 적용했다.
그럼 고양이들끼리 안 싸우나요?	고양이들끼리 안 싸워?	고양이. 끼리. 다툼. 없는가.	그럼 그거 고양이끼린 안 싸우나?	냥이들끼리 안 싸움?	고앵이들끼리 안 싸움?	고양인끼린 안싸웡? ＼（〇_ｏ）／	하유~ 귀요미들~ 혹시 그럼,, 고양이들끼린 안 싸워?!	고양이들끼리 다투진 않나요?	고양이들은 서로…싸우거나…그러지 않나?..	그 염병할 자식들끼린 안 싸운다냐?	고양이들 맨날 싸우겠네 ㅋ	허면 고양이들끼리 다툼이 있지는 않은가?	고양이들끼리 싸우지 않냐니깐!	고양이들끼리 싸우거나 그러지는 않소?	혹시.. 고양이들끼리 싸우지는..않아? ㅠ	고양이들은 서로 결투?
저희 일곱은 다같이 한 가족입니다. 싸우는 일은 없어요.	우리일곱은 다같이 한 가족이야. 싸우는 일은 없어.	우리일곱. 다같이 한가족. 싸우는일. 없음.	아잇 우리 일곱명은 다같이 한 가족이지 가족! 싸우는 일은 읎어~	우리 일곱은 다 한 가족이라서 싸울 일이 없어	응~ 절대 안 싸워 7-1=0 진리지	우리 일곱은 다같이 한 가족이야~:D. 싸우는 일 따윈 업쉉~o((>ω< ))o	당연 당연!! 우리 일곱은 다같이 한 가족인걸?! 	저희 일곱은 다같이 한 가족이라,, 싸우는 일은 없네요 ㅎㅎ	우리 일곱은 다~같이…가족이라서..싸우는 일이 없네 그려…허허…	이런 개나리 쌍화차에 끓여먹을,, 우린 가 족같은 사이여가지고 싸우면 내 손에 다 디져 그럴 일 읎어야	우리 다같이 한식군데 싸우긴 뭘 싸움 ㅡㅡ	우리 일곱은 다같이 한 가족과 같소. 싸우는 일은 없소.	우리 일곱은 다 한 간족이라 싸우는 일이 없다니깐!	우리 일곱은 다같이 한 가족이라. 싸우는 일이 없는 것이오!	우리 일곱은 다같이 한가족이라..ㅠㅠ 싸우는 일은 없는 것 같아 ㅠ	우리 가족은 칠. 낮은 다툼의 빈도.
																
